categoria, Pensamiento

"Pensamiento analitico.","53"
"Pensamiento Logico.","50"
"Pensamiento Sistemico.","40"
"Pensamiento algoritmico.","39"
"Pensamiento inductivo.","37"
"Pensamiento deductivo.","37"
"Pensamiento Creativo.","33"
"Pensamiento Reflexivo.","29"
"Pensamiento Cultural.","12"
"Pensamiento Natural.","12"
"Pensamiento Convergente.","11"
"Pensamiento Fisico.","11"
"Pensamiento Duro.","10"
"Pensamiento Administrativo.","8"
"Pensamiento Divergente.","6"
"Pensamiento Interpretativo.","4"
"Pensamiento Numerico Variacional","3"
"Pensamiento Critico.","3"
"Pensamiento MatemÃ¡tico","2"
"Pensamiento magico.","2"
"Pensamiento Suave.","1"
